product_id,product_name,barcode,barcode_2,barcode_3,barcode_4,barcode_5,supplier,supplier_id,category,category_id,subcategory,subcategory_id
8021821,1300413 - VENDA S/E 20 X 500CM S/S YELLOW DIALMED X UN - SW,1000000029925,,,,,SWISS MEDICAL S.A.,374,Complementos de Farmacia,13,Vendas & Apósitos,5
8135329,1301066 - COMFEEL PLUS DUODERM EXTFINO 9X14 X 1 UN - SW,1000000068047,,,,,SWISS MEDICAL S.A.,374,Varios,20,Varios,1
8021462,1303058 - TUBO RECAMBIO MIC-KEY REF 0123-12 X 5 UN - SW,1000000029321,,,,,SWISS MEDICAL S.A.,374,Hospitalarios,26,Insumos médicos,2
8021631,1303059 - TUBO RECAMBIO FINO MIC-KEY REF 0121-12 X 5 UN - SW,609038007459,,,,,VARIOS,699,Hospitalarios,26,Insumos médicos,2
8135307,420 CBD KIT TETITA FELIZ (CR DIA X 75+ACEIT NOCHE X75),727373073300,,,,,DROGUERIA GARZON,977,Cremas,11,Faciales,1
8141600,47 STREET AURA EDT X 50ML,7798322505978,,,,,LOVAL S.A,936,Fragancias,12,Nacionales,2
8141599,47 STREET INTUITION EDT X 50ML,7798322505961,,,,,LOVAL S.A,936,Fragancias,12,Nacionales,2
8141598,47 STREET VIBE EDT X 50ML,7798322505954,,,,,LOVAL S.A,936,Fragancias,12,Nacionales,2
8143529,7DAYS CR CONT OJOS ANTI AGE & LIFTING RETINOL X 18ML,850068530083,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143527,7DAYS CR CONT OJOS FIRMING & LIFTING COLLAGEN X 18ML,850068530045,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143526,7DAYS CR CONT OJOS HYALURONIC X 18ML,850068530052,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143528,7DAYS CR CONT OJOS RADIANCE & LIFTING VITAMIN C X 18ML,850068530168,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143535,7DAYS CR FAC ANTI AGE HYALURONIC CON MASAJEADOR 3D X 40ML,850068530007,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143536,7DAYS CR FAC CERAMIDAS CON MASAJEADOR 3D X 40ML,850068530106,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143538,7DAYS CR FAC COLAGENO CON MASAJEADOR 3D X 40ML,850068530021,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143546,7DAYS CR FAC COLAGENO WHIPPED SOUFFLE X 50ML,8056234472757,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143545,7DAYS CR FAC HIDRAT Y NUTRIT PEACH VELVET X 50ML,8056234472795,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143537,7DAYS CR FAC PEPTIDOS CON MASAJEADOR 3D X 40ML,850068530113,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143543,7DAYS CR FAC RADIANCE VITAMINA C X 50ML,8056234472801,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143540,7DAYS CR FAC RETINOL CON MASAJEADOR 3D X 40ML,850068530069,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143539,7DAYS CR FAC VITAMINA C CON MASAJEADOR 3D X 40ML,850068530090,,,,,JULERIAQUE S.A.,1112,Cremas,11,Faciales,1
8143523,7DAYS ESPUMA LIMP FAC FOAM IT X 80ML,8057592521583,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143541,7DAYS ESPUMA LIMPIADORA FAC SEA FOAM X 50ML,8056234472771,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143520,7DAYS EXFOLIANTE FACIAL DEEP PORE SCRUB SODA X 80ML,8057592521590,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143521,7DAYS EXFOLIANTE FACIAL PEELING JELLY PAPAYA MANGO X 80ML,8057592521613,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143547,7DAYS MASC FACIAL 2 EN 1 DETOX SKIN X 50ML,8056234472962,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143522,7DAYS MASC FACIAL CICA RECOVER DEEP CLEAN X 80ML,8057592521620,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143524,7DAYS MASC FACIAL EN GEL TRUE LOVE X 80ML,8057592521606,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143544,7DAYS MASC FACIAL HYALURONIC AQUA INFUSION X 50ML,8056234472740,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143542,7DAYS MASC FACIAL NOCTURNA AVOCADO SQUASH X 50ML,8056234472788,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143525,7DAYS MASC FACIAL NOCTURNA MILKY DREAMS X 80ML,8057592521644,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143531,7DAYS SERUM HYALURONIC HA+H2O X 20ML,8057592521521,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143533,7DAYS SERUM LIFTING COLLAGEN DROPS X 20ML,8057592521545,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143534,7DAYS SERUM NOURISHING OIL GREEN POWER X 20ML,8057592521569,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143532,7DAYS SERUM OIL CONTROL B3+ZN X 20ML,8057592521552,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8143530,7DAYS SERUM REVITALIZING MILKY BOOST X 20ML,8057592521507,,,,,JULERIAQUE S.A.,1112,Cosmetica,9,Facial,1
8001501,8848 REVITTAL LABIAL BLIST X 12 U,7798064430811,,,,,MEG LINE,786,Cosmetica,9,Facial,1
6301977,919  KIT  1,7793008008750,7793680000363,7793680321000,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301980,919  KIT  3,7793008008866,7793680323004,7793680000400,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301981,919  KIT  4,7793008008873,7793680324001,7793680000417,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301984,919  KIT  4.6,7793008008897,7793680324605,7793680000431,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301985,919  KIT  5,7793008008903,7793680000448,7793680325008,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301986,919  KIT  5.1,7793008008910,7793680325107,7793680000455,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6301993,919  KIT  6,7793008009245,7793680000509,7793680326005,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302000,919  KIT  7,7793008009290,7793680327002,7793680000554,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302001,919  KIT  7.1,7793008009306,7793680000561,7793680327101,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302004,919  KIT  7.42,7793008009320,7793680000585,7793680327422,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302005,919  KIT  7.5,7793008009337,7793680327507,7793680000592,793008009337,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302007,919  KIT  8,7793008009344,7793680328009,7793680000608,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
6302008,919  KIT  8.1,7793008009351,7793680328108,7793680000615,,,CUENCA (ISSUE),805,Cuidado del Cabello,1,Tinturas & Coloración,5
