product_id,price,price_offer,price_discount,pvp
8021821,0.05,0.05,0.05,
8135329,0.01,0.01,0.01,
8021462,0.01,0.01,0.01,0.01
8021631,0.01,0.01,0.01,
8135307,29632.87,29632.87,29632.87,49150
8141600,20216.75,20216.75,20216.75,31500
8141599,20216.75,20216.75,20216.75,31500
8141598,20216.75,20216.75,20216.75,31500
8143529,27272.04,27272.04,27272.04,46300
8143527,27272.04,27272.04,27272.04,46300
8143526,27272.04,27272.04,27272.04,46300
8143528,27272.04,27272.04,27272.04,46300
8143535,27272.04,27272.04,27272.04,46300
8143536,27272.04,27272.04,27272.04,46300
8143538,27272.04,27272.04,27272.04,46300
8143546,26447.4,26447.4,26447.4,44900
8143545,26447.4,26447.4,26447.4,44900
8143537,27272.04,27272.04,27272.04,46300
8143543,26447.4,26447.4,26447.4,44900
8143540,27272.04,27272.04,27272.04,46300
8143539,27272.04,27272.04,27272.04,46300
8143523,26447.4,26447.4,26447.4,44900
8143541,26447.4,26447.4,26447.4,44900
8143520,26447.4,26447.4,26447.4,44900
8143521,26447.4,26447.4,26447.4,44900
8143547,26447.4,26447.4,26447.4,44900
8143522,26447.4,26447.4,26447.4,44900
8143524,26447.4,26447.4,26447.4,44900
8143544,26447.4,26447.4,26447.4,44900
8143542,26447.4,26447.4,26447.4,44900
8143525,26447.4,26447.4,26447.4,44900
8143531,19379.05,19379.05,19379.05,32900
8143533,19379.05,19379.05,19379.05,32900
8143534,19379.05,19379.05,19379.05,32900
8143532,19379.05,19379.05,19379.05,32900
8143530,19379.05,19379.05,19379.05,32900
8001501,27778.51,27778.51,27778.51,
6301977,6160.73,6160.73,6160.73,8726
6301980,6160.73,6160.73,6160.73,8726
6301981,6160.73,6160.73,6160.73,8726
6301984,6160.73,6160.73,6160.73,8726
6301985,6160.73,6160.73,6160.73,8726
6301986,6160.73,6160.73,6160.73,8726
6301993,6160.73,6160.73,6160.73,8726
6302000,6160.73,6160.73,6160.73,8726
6302001,6160.73,6160.73,6160.73,8726
6302004,6160.73,6160.73,6160.73,8726
6302005,6160.73,6160.73,6160.73,8726
6302007,6160.73,6160.73,6160.73,8726
6302008,6160.73,6160.73,6160.73,8726
6302009,6160.73,6160.73,6160.73,8726
6301978,6160.73,6160.73,6160.73,8726
8140041,17645.05,17645.05,17645.05,24000
8140039,25732.37,25732.37,25732.37,35000
8140037,25732.37,25732.37,25732.37,35000
8140038,25732.37,25732.37,25732.37,35000
8140040,25732.37,25732.37,25732.37,35000
9996435,15812.36,15812.36,15812.36,31877.26
8127378,4561.44,4561.44,4561.44,6819
8127379,6464.19,6464.19,6464.19,9665
8127382,10548.33,10548.33,10548.33,15772
8117581,15280.1,15280.1,15280.1,27300
8141053,11138.25,11138.25,11138.25,19900
8142150,9962.85,9962.85,9962.85,17800
8142149,15783.85,15783.85,15783.85,28200
8142151,39011.84,39011.84,39011.84,69700
8142148,13265.15,13265.15,13265.15,23700
8127345,29328.85,29328.85,29328.85,52400
8143917,14496.5,14496.5,14496.5,25900
8123799,11697.95,11697.95,11697.95,20900
8129066,14048.75,14048.75,14048.75,25100
8125771,13209.17,13209.17,13209.17,23600
8139643,26978.05,26978.05,26978.05,48200
8132961,19366,19366,19366,34600
8132960,20541.38,20541.38,20541.38,36700
8117584,18134.63,18134.63,18134.63,32400
8139646,28657.2,28657.2,28657.2,51200
8143427,8339.7,8339.7,8339.7,14900
8139647,30000.5,30000.5,30000.5,53600
8127653,0.01,0.01,0.01,0.01
8139851,16567.44,16567.44,16567.44,29600
8139852,16287.58,16287.58,16287.58,29100
8127302,15615.93,15615.93,15615.93,27900
8135525,16735.35,16735.35,16735.35,29900
8125017,8003.87,8003.87,8003.87,14300
8117582,13936.8,13936.8,13936.8,24900
8119171,42482.05,42482.05,42482.05,75900
8119173,43433.55,43433.55,43433.55,77600
8119169,34086.38,34086.38,34086.38,60900
8125469,6548.62,6548.62,6548.62,11700
8119158,9235.23,9235.23,9235.23,16500
8126574,8619.55,8619.55,8619.55,15400
8125767,6436.67,6436.67,6436.67,11500
8122071,7220.27,7220.27,7220.27,12900
8139850,11138.25,11138.25,11138.25,19900
8125726,7947.9,7947.9,7947.9,14200
8123005,11474.07,11474.07,11474.07,20500
8132963,12257.67,12257.67,12257.67,21900
8132962,12817.38,12817.38,12817.38,22900
8131668,10578.53,10578.53,10578.53,18900
8131667,11076.68,11076.68,11076.68,19790
8119178,10018.82,10018.82,10018.82,17900
8119175,10690.48,10690.48,10690.48,19100
8119176,12369.6,12369.6,12369.6,22100
8143076,20653.33,20653.33,20653.33,36900
8139642,24011.6,24011.6,24011.6,42900
8117580,15224.13,15224.13,15224.13,27200
8139848,15783.85,15783.85,15783.85,28200
8121215,17574.92,17574.92,17574.92,31400
8117583,17574.92,17574.92,17574.92,31400
8141054,16511.47,16511.47,16511.47,29500
8143077,15839.82,15839.82,15839.82,28300
8143428,15224.14,15224.14,15224.14,27200
8131411,22724.25,22724.25,22724.25,49000
8131417,22724.25,22724.25,22724.25,49000
8131410,22724.25,22724.25,22724.25,49000
8125375,2053.53,2053.53,2053.53,3690
8117567,2164.84,2164.84,2164.84,3890
8040341,2164.84,2164.84,2164.84,3890
8033185,1441.37,1441.37,1441.37,2590
8117569,2554.39,2554.39,2554.39,4590
8117571,6227.37,6227.37,6227.37,11190
4268,25596.05,25596.05,25596.05,34812.62
9990984,25596.05,25596.05,25596.05,34812.62
8128066,5199.11,5199.11,5199.11,8467.05
8129708,10571.95,10571.95,10571.95,17217.04
8129710,10571.95,10571.95,10571.95,17217.04
8135204,10571.95,10571.95,10571.95,17217.04
8130740,11125.89,11125.89,11125.89,18119.15
8129718,5494.94,5494.94,5494.94,8948.83
8128070,5199.11,5199.11,5199.11,8467.05
8128071,5199.11,5199.11,5199.11,8467.05
8129719,5494.94,5494.94,5494.94,8948.83
8128068,5199.11,5199.11,5199.11,8467.05
8128067,5199.11,5199.11,5199.11,8467.05
8130737,11125.89,11125.89,11125.89,18119.15
8128065,5199.11,5199.11,5199.11,8467.05
8130742,11125.89,11125.89,11125.89,18119.15
8130744,11125.89,11125.89,11125.89,18119.15
8128063,5199.11,5199.11,5199.11,8467.05
8130729,11125.89,11125.89,11125.89,18119.15
8130731,11125.89,11125.89,11125.89,18119.15
6310019,5199.11,5199.11,5199.11,8467.05
8128818,10571.95,10571.95,10571.95,17217.04
8128817,10571.95,10571.95,10571.95,17217.04
8135201,10571.95,10571.95,10571.95,17217.04
8128820,10571.95,10571.95,10571.95,17217.04
8135202,10571.95,10571.95,10571.95,17217.04
8128819,10571.95,10571.95,10571.95,17217.04
8130734,11125.89,11125.89,11125.89,18119.15
6310023,5199.11,5199.11,5199.11,8467.05
6310020,5199.11,5199.11,5199.11,8467.05
8130735,11125.89,11125.89,11125.89,18119.15
8128060,5199.11,5199.11,5199.11,8467.05
8130732,11125.89,11125.89,11125.89,18119.15
8129714,5494.94,5494.94,5494.94,8948.83
8128062,5199.11,5199.11,5199.11,8467.05
8130736,11125.89,11125.89,11125.89,18119.15
8130730,11125.89,11125.89,11125.89,18119.15
8128061,5199.11,5199.11,5199.11,8467.05
8129721,5494.94,5494.94,5494.94,8948.83
8128064,5199.11,5199.11,5199.11,8467.05
6310021,5199.11,5199.11,5199.11,8467.05
6310022,5199.11,5199.11,5199.11,8467.05
8129711,5494.94,5494.94,5494.94,8948.83
6310018,5199.11,5199.11,5199.11,8467.05
8130733,11125.89,11125.89,11125.89,18119.15
8129717,5494.94,5494.94,5494.94,8948.83
